,Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Model Order
330,NFLX,0.045200000000000004,0.05290519823230984,2.344,2.935592682917711,"(1, 1, 1)"
331,NI,0.1244,0.11115322757347174,1.9604,1.7378470128293801,"(2, 1, 0)"
332,NKE,0.3078,0.5226985364433309,7.8447999999999976,12.964007565563973,"(0, 1, 2)"
333,NOC,0.19319999999999998,0.13085778540079304,1.6035999999999997,0.8174263514225608,"(1, 1, 0)"
334,NOW,0.137,0.1472752525036029,1.452,0.541240427167077,"(0, 1, 1)"
335,NRG,0.057199999999999994,0.05530063290777059,1.2822,0.8220032603341668,"(1, 0, 0)"
336,NSC,0.099,0.08089499366462674,1.6881999999999997,0.7250510051023996,"(0, 1, 1)"
337,NTAP,0.045799999999999993,0.03306599461682651,0.9342,0.5148302244429711,"(0, 1, 0)"
338,NTRS,0.16840000000000002,0.2766489472237334,1.2586,0.6789369926583763,"(1, 1, 2)"
339,NUE,0.08,0.07201944181955314,26452804572409.965,52905609144813.25,"(1, 1, 0)"
340,NVDA,0.0496,0.03887724270058256,4.3432,4.267961499357744,"(1, 1, 0)"
341,NVR,0.18560000000000001,0.24563599084824686,1.1957999999999998,0.6267201608373549,"(3, 1, 1)"
342,NWS,0.024399999999999998,0.015564061166674975,1.004,0.38247457431834603,"(0, 1, 0)"
343,NWSA,0.022600000000000002,0.027961401967712563,1.8596,1.727202663267979,"(0, 1, 0)"
344,NXPI,0.1386,0.16966861819440862,1.3052,0.6067907052682993,"(0, 1, 0)"
345,O,0.0758,0.07706464818579269,3.0157999999999996,4.21278071586927,"(1, 0, 0)"
346,ODFL,0.11779999999999999,0.08606369734098111,3.1393999999999997,4.178768076837956,"(2, 1, 0)"
347,OGN,0.24450000000000002,0.21750000000000003,1.81,0.899,"(0, 1, 1)"
348,OKE,0.022600000000000002,0.021527656630483498,0.8418000000000001,0.5624323603776724,"(1, 0, 0)"
349,OMC,0.046,0.04966286338905561,13.658399999999997,26.26967500826761,"(1, 1, 0)"
350,ON,0.4596,0.42286905774719435,1.3362000000000003,0.46008842628346996,"(0, 1, 1)"
351,ORCL,0.14520000000000002,0.1647961164590962,1.4936,0.36217321822575455,"(1, 1, 1)"
352,ORLY,0.11779999999999999,0.06655644221260629,10.944600000000001,12.619248576678407,"(1, 1, 0)"
353,OTIS,0.148,0.026999999999999996,3.7735000000000003,2.7085000000000004,"(0, 1, 0)"
354,OXY,0.0672,0.06146999267935535,1.7012,1.0015361001980907,"(2, 1, 0)"
355,PANW,0.1348,0.13983332936034956,1.467,1.4045770893760159,"(4, 1, 1)"
356,PARA,0.023,0.026884940022250375,1.0208,0.9303198159772799,"(1, 1, 1)"
357,PAYC,0.05279999999999999,0.06270693741524935,0.8696000000000002,0.562722524873494,"(0, 1, 0)"
358,PAYX,0.06380000000000001,0.0971069513474705,1.0072,1.1515642231330392,"(1, 0, 1)"
359,PCAR,0.1266,0.13571234284323588,3.4297999999999993,3.002048993604202,"(1, 1, 0)"
360,PCG,0.5860000000000001,1.0128743258667385,2.6486000000000005,3.448386846048454,"(1, 1, 0)"
361,PEAK,0.014600000000000002,0.01044222198576529,0.8056000000000001,0.6518065970822942,"(2, 1, 1)"
362,PEG,0.1378,0.14326395220012605,1.645,0.7515173983348622,"(1, 1, 1)"
363,PEP,0.096,0.07335666295572613,1.2598,0.32609225688445903,"(1, 1, 1)"
364,PFE,0.07640000000000001,0.09179237441094985,1.2318,0.5946566740565516,"(4, 1, 3)"
365,PFG,0.0628,0.05117968346912669,3.4483999999999995,2.5883059788208964,"(1, 1, 0)"
366,PG,0.0776,0.1094451460778412,1.0614000000000001,0.5040827709811158,"(2, 1, 1)"
367,PGR,0.5292,0.7919480791062,1.3724,0.7606030765123161,"(4, 1, 0)"
368,PH,0.024999999999999998,0.03128577951721836,0.6078,0.7086396545494755,"(1, 1, 1)"
369,PHM,0.051000000000000004,0.0644608408260395,0.5048,0.5126661291718032,"(0, 1, 1)"
370,PKG,0.1078,0.08305034617628033,1.467,1.0736269370689244,"(1, 1, 0)"
371,PLD,0.1196,0.09184900652701694,6.3276,10.24386307210322,"(0, 1, 1)"
372,PM,0.049,0.038935844667863574,3.4951999999999996,4.521356584035371,"(1, 0, 0)"
373,PNC,0.11420000000000001,0.08966693928087431,3.9791999999999996,5.913234052529968,"(3, 1, 1)"
374,PNR,0.031000000000000007,0.0296108088373148,1.5493999999999999,1.104913679886352,"(1, 1, 1)"
375,PNW,0.15460000000000002,0.14217819804737997,1.0032,0.6268296100217347,"(2, 1, 0)"
376,PODD,0.0596,0.03232707843279377,62957957562262.39,125915915124522.62,"(0, 1, 1)"
377,POOL,0.046200000000000005,0.028435189466574688,0.974,0.939283982616546,"(0, 1, 1)"
378,PPG,0.0256,0.01709502851708648,0.859,0.741200647598206,"(1, 1, 1)"
379,PPL,0.335,0.5605215428509417,1.0390000000000001,0.5647257741594588,"(1, 0, 0)"
380,PRU,0.0438,0.01126765281680262,4.1922,6.182555698091202,"(0, 1, 1)"
381,PSA,0.1506,0.1839441219501183,91.04899999999998,180.27544718236035,"(2, 1, 1)"
382,PSX,0.13440000000000002,0.19529935995798858,2.055,2.0154531996551053,"(0, 1, 1)"
383,PTC,0.13640000000000002,0.19293480764237436,1.1776000000000002,1.181353901250595,"(1, 1, 0)"
384,PWR,0.049800000000000004,0.03644941700493987,5.643,6.805039044707972,"(5, 1, 1)"
385,PXD,0.077,0.032600613491159953,1.6138,0.8390650511134402,"(2, 1, 0)"
386,PYPL,0.0814,0.036103185455025985,1.3468,2.022231875923233,"(1, 0, 0)"
387,QCOM,0.14020000000000002,0.1622878923395088,1.4824000000000002,1.1583561801104183,"(1, 1, 0)"
388,QRVO,0.1052,0.09023391823477467,21.9284,42.641748555142534,"(1, 0, 0)"
389,RCL,0.27179999999999993,0.40790851915595,14.027600000000001,24.582226470358624,"(1, 1, 2)"
390,REG,0.0962,0.14928415857015773,4.835,4.826716482247533,"(2, 1, 0)"
391,REGN,0.23500000000000001,0.27976561618612106,3.1895999999999995,4.698138124832005,"(0, 1, 1)"
392,RF,0.0646,0.028089855820206698,1.2978,0.6879315082186598,"(1, 1, 2)"
393,RHI,0.13199999999999998,0.18261982367749677,5.570799999999999,4.786594380141271,"(0, 1, 1)"
394,RJF,0.12700000000000003,0.16457946408953944,2.4778,1.3119041733297443,"(0, 1, 0)"
395,RL,0.195,0.22757416373569295,11375582696251.918,22751165392500.508,"(1, 1, 0)"
396,RMD,0.135,0.19054028445449533,1.3044,1.1679821231508638,"(1, 1, 1)"
397,ROK,0.065,0.09260453552607453,70.73679999999999,139.33090764851852,"(1, 1, 0)"
398,ROL,0.083,0.0363318042491699,2.3002000000000002,0.4970192752801445,"(1, 1, 0)"
399,ROP,0.1572,0.10588559864306382,4.9732,4.156116331384386,"(3, 1, 1)"
400,ROST,0.1316,0.11991763840236348,1.1888,0.2699906665053442,"(1, 1, 1)"
401,RSG,0.2604,0.18715405419065867,3.1662000000000003,1.8043647524821582,"(1, 1, 0)"
402,RTX,0.11400000000000002,0.0950936380627011,2.8526,2.7500449887229115,"(0, 1, 1)"
403,RVTY,0.11040000000000001,0.10245506332046259,3.0484,4.6631613139585895,"(1, 1, 1)"
404,SBAC,0.1024,0.09070744181157356,4.994400000000001,5.794099087865171,"(0, 1, 0)"
405,SBUX,0.0502,0.07647849370901601,1.0686,1.0313819079274176,"(1, 1, 1)"
406,SCHW,0.0412,0.028230479981750222,0.6241999999999999,0.3821446846418251,"(0, 1, 1)"
407,SEDG,0.0622,0.08406283364246056,0.47680000000000006,0.45914416036796113,"(6, 1, 0)"
408,SEE,0.17740000000000003,0.31228999343558866,1.5668,1.3295718709419209,"(0, 1, 1)"
409,SHW,0.07320000000000002,0.03916835457355849,10.4828,9.265167400538427,"(1, 1, 0)"
410,SJM,0.126,0.12356536731625087,1.2266000000000001,0.5357356064328748,"(2, 1, 0)"
411,SLB,0.04240000000000001,0.029628364787817774,1.4802000000000002,0.6573167881622985,"(1, 1, 0)"
412,SNA,0.09659999999999999,0.06387362522982393,1.2308,0.5845885390597391,"(2, 1, 0)"
413,SNPS,0.1816,0.156646863996698,1.8084,1.462031819079188,"(0, 1, 1)"
414,SO,0.21059999999999998,0.3129745037539,0.8976,0.4630475569528469,"(3, 1, 0)"
415,SPG,0.061,0.033364651953826825,7.1494,10.161328153346885,"(3, 1, 1)"
416,SPGI,0.0744,0.06796351962634072,1.0715999999999999,0.49292011523166707,"(1, 1, 0)"
417,SRE,0.11240000000000001,0.08135994100292845,1.4053999999999998,1.3110903248823094,"(0, 1, 2)"
418,STE,0.13440000000000002,0.120930723970379,1.4758,0.5935070008011699,"(2, 1, 1)"
419,STLD,0.045,0.049505555243830976,5.8094,10.680165777739594,"(1, 1, 0)"
420,STT,0.071,0.04687429999477325,3.2598,3.6085329650704314,"(0, 1, 1)"
421,STX,0.0758,0.05766593448475452,2.049,1.3294965964604797,"(1, 1, 0)"
422,STZ,0.084,0.09513569256593447,1.703,1.0115479227401931,"(5, 1, 0)"
423,SWK,0.0752,0.08144789745598102,0.71,0.3382064458285797,"(2, 1, 1)"
424,SWKS,0.0952,0.1469903398186425,1.2684000000000002,0.5989205623452913,"(2, 1, 1)"
425,SYF,0.0742,0.0515495877772073,1.9766,1.7575180909452968,"(1, 1, 2)"
426,SYK,0.11880000000000002,0.14824763067246638,1.8941999999999997,1.046854029939227,"(0, 1, 1)"
427,SYY,0.23439999999999994,0.23032985043194032,0.9490000000000001,0.5713664323356772,"(0, 1, 1)"
428,T,0.22820000000000001,0.22665780374829367,2.0014,1.1469986224926343,"(3, 1, 1)"
429,TAP,0.1066,0.08235192772485658,1.5802,1.2387021272283343,"(2, 1, 0)"
