Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Best Model
PARA,2.1168024817693363,0.8336092809041467,0.0490132589870391,0.0157771591316267,<keras.src.engine.sequential.Sequential object at 0x7de5f8114f40>
PAYC,17.83644314836679,14.368294581645756,0.0622347558885222,0.0215389640078356,<keras.src.engine.sequential.Sequential object at 0x7de5a5d0faf0>
PAYX,3.287707521037359,2.744059502093641,0.0335226214025212,0.0225441455046068,<keras.src.engine.sequential.Sequential object at 0x7de5f8117130>
PCAR,1.9165081478414083,1.1588197800046862,0.0306216670074924,0.0072648920555189,<keras.src.engine.sequential.Sequential object at 0x7de594779450>
PCG,1.5133505869463502,0.8533569187853697,0.0549235642463095,0.0397848259976044,<keras.src.engine.sequential.Sequential object at 0x7de6cb0a1d80>
PEAK,0.9913705430722766,0.5042458825309586,0.0312252377319443,0.0119340906929745,<keras.src.engine.sequential.Sequential object at 0x7de5a726c070>
PEG,1.1813105787890208,0.0212651221727349,0.0218400324915255,0.0066710853694724,<keras.src.engine.sequential.Sequential object at 0x7de5a4bcfe50>
PEP,2.814903073205286,1.136805879040924,0.0186546908205565,0.00538589837102,<keras.src.engine.sequential.Sequential object at 0x7de5d4e203d0>
PFE,1.567102578085883,0.8386800751006124,0.0391010322168273,0.0188612095551119,<keras.src.engine.sequential.Sequential object at 0x7de59645c5b0>
PFG,2.274916707277137,0.6739474315127246,0.0344155533367187,0.0066849364218862,<keras.src.engine.sequential.Sequential object at 0x7de59d66e0b0>
PG,2.677433824276911,0.9457507450908248,0.0228562641539637,0.0071225142735943,<keras.src.engine.sequential.Sequential object at 0x7de597c49600>
PGR,2.550996307691609,2.1507205933031317,0.0245997922714113,0.0092761421481252,<keras.src.engine.sequential.Sequential object at 0x7de640b843a0>
PH,7.056871985102367,4.324860624093807,0.0259814856942193,0.0041771501940195,<keras.src.engine.sequential.Sequential object at 0x7de5a49a2980>
PHM,2.57129998755915,3.09262303070973,0.0441453701655065,0.0302633586997395,<keras.src.engine.sequential.Sequential object at 0x7de6cb67ff70>
PKG,4.466444809370717,1.4380282374968314,0.0389616301619381,0.0120855034114268,<keras.src.engine.sequential.Sequential object at 0x7de58d975030>
PLD,2.7185483753048514,1.1897535575018416,0.0329129650749624,0.019392500470752,<keras.src.engine.sequential.Sequential object at 0x7de5a6cd6ad0>
PM,1.871845152018113,0.5366396519071934,0.0202724634215918,0.0070460317138107,<keras.src.engine.sequential.Sequential object at 0x7de640a86290>
PNC,4.631105799956372,1.4236071607639964,0.0346504428771838,0.0093043913890146,<keras.src.engine.sequential.Sequential object at 0x7de5a4c9a650>
PNR,2.2556176041582416,1.3193700548459433,0.0364029883892028,0.012076074357318,<keras.src.engine.sequential.Sequential object at 0x7de59c92b520>
PNW,2.4440148897106,0.6794437024713734,0.0296724107389148,0.0052877521001413,<keras.src.engine.sequential.Sequential object at 0x7de59cdf3af0>
PODD,12.044313859220694,8.362989577257903,0.0738009400891286,0.0272541993149431,<keras.src.engine.sequential.Sequential object at 0x7de58e47c670>
POOL,14.901406468201412,13.4637680346998,0.0463148062028946,0.0199328123606219,<keras.src.engine.sequential.Sequential object at 0x7de58d2db940>
PPG,4.582500325821988,1.4932413716554995,0.0335066251494463,0.01227304146847,<keras.src.engine.sequential.Sequential object at 0x7de597ae3f70>
PPL,0.7920119885956665,0.1616666233750194,0.0274711231758865,0.0053544717876198,<keras.src.engine.sequential.Sequential object at 0x7de5a55e6080>
PRU,3.683364693451957,1.3942518758074305,0.0390157689766762,0.0142987267726638,<keras.src.engine.sequential.Sequential object at 0x7de596fb8df0>
PSA,6.001327688537576,1.2563572090709945,0.0249415296059335,0.0054069189046728,<keras.src.engine.sequential.Sequential object at 0x7de595b95b10>
PSX,3.294760908761147,1.1485771485143343,0.0356112590352496,0.0085839548690375,<keras.src.engine.sequential.Sequential object at 0x7de585211db0>
PTC,5.361280709642075,2.9729641651274243,0.0507916829275748,0.0235428317083682,<keras.src.engine.sequential.Sequential object at 0x7de58ec71930>
PWR,4.248219181404084,4.616588745794108,0.0423492252093704,0.0201848440211759,<keras.src.engine.sequential.Sequential object at 0x7de58d494d90>
PXD,8.499286121997402,3.3720154869349783,0.0625907923621619,0.0418416397287703,<keras.src.engine.sequential.Sequential object at 0x7de59d5d4b80>
QCOM,3.7702104580999647,1.326642397309255,0.0465884219789661,0.0238207459670412,<keras.src.engine.sequential.Sequential object at 0x7913d0646b90>
QRVO,6.759709623980721,5.209959590208117,0.0879592291113102,0.1082427546352807,<keras.src.engine.sequential.Sequential object at 0x791450541db0>
RCL,6.2523852395378485,2.776950269205756,0.0572562857967531,0.0273709798877838,<keras.src.engine.sequential.Sequential object at 0x79143c70ab60>
REG,1.5828641493963034,0.3168774502317522,0.0233109825679483,0.0038423399843402,<keras.src.engine.sequential.Sequential object at 0x7913d0508eb0>
REGN,32.09927187816622,15.09161520166124,0.0505043628636273,0.0279878548701418,<keras.src.engine.sequential.Sequential object at 0x7913fbf977f0>
RF,0.6995505259839996,0.2519663741122134,0.0405483428432806,0.0080437034520852,<keras.src.engine.sequential.Sequential object at 0x79143c000e50>
RHI,3.1993359143503923,1.602799084219865,0.0385440325139413,0.008930424593082,<keras.src.engine.sequential.Sequential object at 0x7913d04de2f0>
RJF,2.2012636458090435,0.4078707376571225,0.0303001975096497,0.0105377896017633,<keras.src.engine.sequential.Sequential object at 0x7913d0630970>
RL,5.864689649727112,1.6683579622990914,0.0475066424486571,0.0084396055507336,<keras.src.engine.sequential.Sequential object at 0x79145f887220>
RMD,12.7270509372898,10.56902149142314,0.0671393730748622,0.0319444635845323,<keras.src.engine.sequential.Sequential object at 0x7914507d92a0>
ROK,9.338646243554672,5.7690403983026615,0.0356359148344261,0.0083782049120045,<keras.src.engine.sequential.Sequential object at 0x7914506c9c90>
ROL,1.183812082700033,0.6541372546387694,0.0388448496558942,0.0166836702780773,<keras.src.engine.sequential.Sequential object at 0x7913d847d900>
ROP,13.388168304584816,8.808094583297555,0.0326501836910503,0.0141553342851062,<keras.src.engine.sequential.Sequential object at 0x7913fbf997b0>
ROST,4.01466411698778,1.7361236875653183,0.0394509223703377,0.0117857121648633,<keras.src.engine.sequential.Sequential object at 0x791450513880>
RSG,2.527187534188568,1.9037100211565408,0.0242951443198792,0.0151194101992193,<keras.src.engine.sequential.Sequential object at 0x7913841f1360>
RTX,2.415834778137499,0.8175186353147755,0.0290681964645808,0.0144112808567872,<keras.src.engine.sequential.Sequential object at 0x7913d8205180>
RVTY,5.565298094856247,4.272425506063407,0.0407647311299704,0.0145806099476172,<keras.src.engine.sequential.Sequential object at 0x79143c0f7eb0>
SBAC,14.425751286904273,13.09606189886406,0.0581441122619159,0.0525816576076175,<keras.src.engine.sequential.Sequential object at 0x7913841ed180>
SBUX,2.3756832802143,0.6308933636549806,0.0277162297634346,0.0104238568113291,<keras.src.engine.sequential.Sequential object at 0x7913d0508f10>
SCHW,2.645794808217818,0.9114929649871916,0.0488481586342533,0.0142345037575084,<keras.src.engine.sequential.Sequential object at 0x7913d839f4c0>
