,n_estimators,max_depth,learning_rate,RMSE Avg.,RMSE Std.,MAPE Avg.,MAPE Std.,Accuracy
HBAN,50,3,0.1,0.21033020945425207,0.06401730784009783,0.016776720526063823,0.0076452204831062055,0.56
HII,500,3,0.01,2.0702857237043952,0.8090396027135688,0.011569230302681434,0.007726669684448788,0.52
IBM,50,3,0.2,1.832520199002881,1.0750959640886812,0.014393529861154598,0.010024583761729846,0.44
IEX,500,3,0.2,1.603577115451749,0.6895908679630852,0.009637651771360722,0.00416009723094428,0.44
IDXX,500,3,0.01,5.07780822072611,3.523853965123026,0.014706099503488501,0.007944619174803443,0.68
ITW,100,4,0.2,1.579246940207186,0.8052274779958933,0.009905873461396496,0.005744857945677685,0.52
ILMN,50,8,0.3,7.562605971477884,3.7718856671770364,0.027873444645542304,0.013370181454965338,0.48
INCY,500,3,0.2,2.0694852895327687,1.9394199664377263,0.019065417575146702,0.01694624236361886,0.52
IR,200,5,0.3,0.7585228284816345,0.41636835405372286,0.014438082696053605,0.0037226990352150226,0.44
PODD,100,3,0.3,9.716665513918153,7.785500259988645,0.05978171576078012,0.03639593908195237,0.4
INTC,50,8,0.3,0.5446045831319049,0.23165200020000967,0.014074005994218828,0.008539383381526489,0.68
ICE,100,5,0.1,0.9620268171213242,0.3804405217456847,0.011406185331284732,0.007082707736351102,0.6
IFF,200,3,0.1,2.4243303542069046,1.3823697380173279,0.025857603809490405,0.01842708857965268,0.44
IP,50,8,0.2,0.614684748234708,0.1535053160653362,0.015125580935099239,0.005723049719469373,0.48
IPG,50,3,0.3,0.33633633819586917,0.12178903397852271,0.013314821147305844,0.008041150624266772,0.64
INTU,50,3,0.1,8.829464120335356,7.009475277400546,0.024282481413489022,0.011966008111096342,0.56
ISRG,100,3,0.2,3.995800852892615,2.5777489762773924,0.016140726041954108,0.003499419405870942,0.52
IVZ,100,5,0.2,0.35361830696120633,0.2522126996973671,0.015129174762989977,0.009633633058462293,0.72
INVH,200,3,0.1,0.3455761356081136,0.22462374596484894,0.009599592508774818,0.0052848820773726555,0.64
IQV,50,3,0.3,3.0636846833191145,1.7860863436900474,0.02018779037536218,0.012656580678380349,0.44
IRM,50,3,0.2,0.4928494656327322,0.3068060373497175,0.014192702311761497,0.008009407999451294,0.64
JBHT,100,3,0.1,1.4751706963105788,0.4018428838804636,0.010168783927312902,0.004388430100807415,0.56
JKHY,50,4,0.1,1.7723069374355567,1.0164435933784914,0.012439849139524825,0.006684827142724812,0.56
J,100,3,0.2,1.0179691757332896,0.34581850958982385,0.013591994704233746,0.010472720867842296,0.6
JNJ,50,4,0.1,1.5260714063578327,0.3772402465094114,0.01137054306527888,0.0057964404167493095,0.48
JCI,100,5,0.1,0.6699593194279515,0.5536006235364527,0.011862781684827167,0.008091182916315142,0.64
JPM,500,4,0.1,1.4545301327306566,0.6352139400952399,0.013175269988743406,0.009391064239612251,0.6
JNPR,100,4,0.3,0.4321609834276215,0.15618853227695043,0.016875913186894277,0.006157909571306622,0.48
K,50,3,0.1,0.7738831637246713,0.21802746900777786,0.012116631387555418,0.003649983949301212,0.32
KVUE,50,3,0.01,0.6611668218185582,0.15349971401223625,0.024622957375119423,0.007935612118077636,0.52
KDP,500,3,0.01,0.23461907190992246,0.13156161930563343,0.009799752396034258,0.005106277834950488,0.4
KEY,50,3,0.3,0.26109386516619704,0.14678548383804574,0.019135344252880233,0.012650070878994777,0.6
KEYS,50,3,0.2,2.6694858450140915,2.508418519909277,0.017643744795066613,0.01000518804018553,0.56
KMB,50,3,0.2,1.233399982726039,0.5699831568559368,0.010126119409070078,0.006989742617165126,0.6
KIM,100,4,0.1,0.32388726876719415,0.13511224619052797,0.0176233691785728,0.0091289106164612,0.52
KMI,500,3,0.01,0.24249358066646393,0.18268958884006023,0.011558559803114174,0.007014794971628408,0.72
KLAC,200,3,0.3,3.3810159577405114,2.774178302623624,0.014505635848421244,0.00547749133452862,0.56
KHC,50,4,0.1,0.6409509599476086,0.39302295642065005,0.013905630218189413,0.0071803043678801024,0.4
KR,500,3,0.3,0.6163645319212832,0.21151668673370294,0.01965315387636991,0.00974846085090826,0.56
LHX,200,4,0.2,1.3482126589607186,0.29686876271130164,0.00921357668898794,0.005650453773802353,0.68
